neighbourhood_cleansed,avg_rental_rate,total_earnings,avg_occupancy_rate,listings_count,avg_review_score
"District 6",180.60135135135135,14840839,40.54794385,602,4.872068345323746
"District 25",274.36206896551727,2184803,43.68702034,59,4.92
"District 17",241.4551656920078,25129876,31.83844284,1027,4.8529886246122
"District 12",110.92156862745098,820626,40.50496667,51,4.834186046511629
"District 18",229.89453125,6217119,36.08504710,259,4.838995815899583
"District 15",174.79406307977737,14990763,40.64723474,665,4.6724593967517425
"District 19",213.13492450073065,53144331,34.62391539,2131,4.80243589743588
"District 14",155.4848484848485,1391156,42.07493676,68,4.877894736842105
"District 7",151.56746031746033,5794122,40.63493431,274,4.893110236220474
"District 24",199.63970588235293,4275868,44.80352044,137,4.8375
"District 16",133.7068062827225,3902655,41.76512604,192,4.840000000000002
"District 5",209.37126436781608,19728553,31.45445849,889,4.852383233532934
"District 1",197.05333333333334,1782366,38.33125844,77,4.867761194029851
"District 10",181.63636363636363,910370,47.79576970,33,4.908148148148149
"District 21",177.51603206412827,20489208,32.28802745,1002,4.795455531453366
"District 20",265.46320346320346,6375956,34.88270815,233,4.825410628019325
"District 26",147.25,1819498,48.50505797,69,4.855161290322579
"District 8",162.33142857142857,4609407,42.13073207,184,4.880588235294119
"District 13",140.25252525252526,1821422,42.19911964,112,4.535520833333334
"District 4",181.63636363636363,854390,38.25653636,33,4.8878571428571425
"District 2",267.8258706467662,12376223,31.20716963,405,4.798071625344358
"District 29",133.33962264150944,1442776,56.55293091,55,4.842653061224489
"District 27",151.8181818181818,1126472,49.80075000,44,4.894285714285713
"District 3",210.18840579710144,1752383,41.41429459,74,4.821967213114754
"District 34",439.72222222222223,785250,42.72448889,18,4.932142857142857
"District 11",310.77777777777777,2496923,38.84417813,64,4.848983050847457
"District 35",157.86363636363637,345100,30.25610435,23,4.893157894736842
"District 23",282.9047619047619,542533,45.54468571,21,4.855294117647059
"District 33",117.73076923076923,442673,41.32927778,27,4.8619047619047615
"District 9",129.96226415094338,1031908,45.67869636,55,4.881555555555554
"District 30",176.3030303030303,901452,41.72994286,35,4.8119354838709665
"District 31",100.95833333333333,351894,36.81094800,25,4.863181818181818
"District 22",148.55,463561,43.09589000,20,4.741578947368421
"District 28",157.96153846153845,473626,34.15174615,26,4.802608695652173
"District 32",102.4,42388,26.57536000,5,4.4025
