booked_count,available_count,year,month,room_type,occupancy_rate
4278,2141,2024,6,"Private room",66.64589
194,539,2024,6,"Hotel room",26.46658
34,9,2024,6,"Shared room",79.06977
45807,24248,2024,6,"Entire home/apt",65.38720
394,2427,2024,7,"Hotel room",13.96668
11905,11345,2024,7,"Private room",51.20430
82,73,2024,7,"Shared room",52.90323
111035,141553,2024,7,"Entire home/apt",43.95894
62,93,2024,8,"Shared room",40.00000
364,2457,2024,8,"Hotel room",12.90323
80168,172420,2024,8,"Entire home/apt",31.73864
7260,15990,2024,8,"Private room",31.22581
5779,16721,2024,9,"Private room",25.68444
470,2260,2024,9,"Hotel room",17.21612
71,79,2024,9,"Shared room",47.33333
70036,174404,2024,9,"Entire home/apt",28.65161
69053,183535,2024,10,"Entire home/apt",27.33820
449,2372,2024,10,"Hotel room",15.91634
7295,15955,2024,10,"Private room",31.37634
93,62,2024,10,"Shared room",60.00000
183,2547,2024,11,"Hotel room",6.70330
53734,190706,2024,11,"Entire home/apt",21.98249
6802,15698,2024,11,"Private room",30.23111
90,60,2024,11,"Shared room",60.00000
166,2655,2024,12,"Hotel room",5.88444
61641,190947,2024,12,"Entire home/apt",24.40377
105,50,2024,12,"Shared room",67.74194
8227,15023,2024,12,"Private room",35.38495
81221,171367,2025,1,"Entire home/apt",32.15553
68,2753,2025,1,"Hotel room",2.41049
92,63,2025,1,"Shared room",59.35484
10641,12609,2025,1,"Private room",45.76774
56,84,2025,2,"Shared room",40.00000
9509,11491,2025,2,"Private room",45.28095
77305,150839,2025,2,"Entire home/apt",33.88430
67,2481,2025,2,"Hotel room",2.62951
75,80,2025,3,"Shared room",48.38710
11964,11286,2025,3,"Private room",51.45806
95009,157579,2025,3,"Entire home/apt",37.61422
85,2736,2025,3,"Hotel room",3.01312
90,60,2025,4,"Shared room",60.00000
13306,9194,2025,4,"Private room",59.13778
107683,136757,2025,4,"Entire home/apt",44.05294
345,2385,2025,4,"Hotel room",12.63736
93,62,2025,5,"Shared room",60.00000
13901,9349,2025,5,"Private room",59.78925
111272,141316,2025,5,"Entire home/apt",44.05277
612,2209,2025,5,"Hotel room",21.69443
9880,5742,2025,6,"Private room",63.24414
65,42,2025,6,"Shared room",60.74766
78338,96087,2025,6,"Entire home/apt",44.91214
935,1062,2025,6,"Hotel room",46.82023
